Country Code,Pollutant,Min,Max,Median,Mittelwert,Standardabweichung
MX,PM1,4.53720235824585,30.776785532633465,10.113095263640085,13.885044604539871,11.584358684081112
MX,PM10,0.0,987.76,35.0,58.2416176645853,124.51694431832426
MX,PM2.5,-1.4,1349.3,14.85,38.77374395707278,141.95977578814825
MX,RELATIVEHUMIDITY,32.46633895238241,45.56260363260905,39.01447129249573,39.01447129249573,9.26045756360213
MX,SO2,0.0,1.77649658073229,0.0026503513888888,0.01589771230165243,0.13025053530497888
MX,TEMPERATURE,18.966785430908203,20.679404576619465,19.823095003763832,19.823095003763832,1.2110046115223438
MX,UM003,1875.7291666666667,2194.581858317057,2035.1555124918618,2035.1555124918618,225.4629004655744
MY,PM10,24.0,24.0,24.0,24.0,
MY,PM2.5,4.587499956289928,29.0,10.9,14.829166652096644,12.671673233278915
MY,TEMPERATURE,26.88333320617676,26.88333320617676,26.88333320617676,26.88333320617676,
MZ,O3,0.011,0.018,0.014499999999999999,0.014499999999999999,0.0049497474683058325
MZ,PM2.5,4.0,14.5,9.25,9.25,7.424621202458749
NG,PM2.5,0.1,50.2,2.3,17.533333333333335,28.311540638639457
NI,PM2.5,4.5,22.6,15.899999999999999,14.8375,6.276244896432898
NL,CO,-995.0,360.0,171.0,-248.9,644.764289402638
NL,NO,-999.0,4.22,-995.0,-953.9257142857143,204.04574321312234
NL,NO2,-999.0,67.5,-995.0,-594.4349367088607,502.3718350264877
NL,O3,-999.0,57.2,10.350000000000001,-202.40900000000002,426.7892631783112
NL,PM1,4.666666507720947,30.92638874053955,15.645833333333332,15.873870978752773,9.386672554285473
NL,PM10,-999.0,56.94791603088379,12.11,-129.16371850683987,358.9519167539247
NL,PM2.5,-999.0,44.41041660308838,7.050000000000001,-122.80243573717244,346.10859605869655
NL,RELATIVEHUMIDITY,49.50466664632162,66.0,57.716665267944336,58.09833070966932,7.105263431812857
NL,SO2,-999.0,2.5,0.6,-70.66071428571429,267.19519771894466
NL,TEMPERATURE,-0.2411369134982427,19.200000762939453,5.367041667302449,6.82257450868686,6.551932418743085
NL,UM003,937.0,4829.045857747396,1176.0,2372.3000020345053,1798.5875647699092
NO,CO,-1000.0,-1000.0,-1000.0,-1000.0,
NO,NO2,-18.7,73.90228,30.5066835,30.098460120435,21.048125151150117
NO,O3,0.514444,76.6,49.68,46.774937125,22.71228311137446
NO,PM10,-1.0,1516.691667,13.1340185,36.98097855660147,182.88290895553698
NO,PM2.5,-1.0,31.119331,8.149387,9.791440319369356,7.375699625873389
NO,SO2,0.5,14.920801,1.6,3.1090545714285716,5.2314993473807885
NP,O3,-0.999,0.033,-0.483,-0.483,0.729734198184517
NP,PM1,40.388094902038574,40.388094902038574,40.388094902038574,40.388094902038574,
NP,PM10,78.27381006876628,78.27381006876628,78.27381006876628,78.27381006876628,
NP,PM2.5,36.0,79.0,68.41666762034099,61.138889206780334,22.404788416266445
